,TG ID,File ID,Caption,Date
29,2134194986,AgACAgIAAxkBAAIKEWVdtH4yKHBZB2Lk0Wu-OuMJG5KyAAIB0DEbAyvwSjcmzxW7JdWoAQADAgADcwADMwQ,building,2023-11-22 07:57:51+00:00
30,2134194986,AgACAgIAAxkBAAIKE2VdtJt_0W_yZ4wZPSk4jKYKUUhqAAIC0DEbAyvwSrhXamyOLr0sAQADAgADcwADMwQ,snow and mountain,2023-11-22 07:58:19+00:00
31,2134194986,AgACAgIAAxkBAAIKFWVdtM0kfLDls1AcmKKALLXOxDFEAAID0DEbAyvwSnZx8sC1xo5XAQADAgADcwADMwQ,smok,2023-11-22 07:59:10+00:00
32,2134194986,AgACAgIAAxkBAAIKF2VdtOCrShzAgI_Nj4aA5p9EcyYAAwTQMRsDK_BKpOAbNGypoxcBAAMCAANzAAMzBA,roof,2023-11-22 07:59:28+00:00
33,2134194986,AgACAgIAAxkBAAIKGWVdtPAHqatGiSiSw4dgoTnp3i93AAIF0DEbAyvwSs0xoBbP7e_CAQADAgADcwADMwQ,gress,2023-11-22 07:59:44+00:00
34,2134194986,AgACAgIAAxkBAAIKG2VdtQENjYJHXQnfVowRUH_u5jcKAAIG0DEbAyvwSjvvlT432dDJAQADAgADcwADMwQ,afina,2023-11-22 08:00:01+00:00
35,2134194986,AgACAgIAAxkBAAIKHWVdtRdfiyTOYNzWnhEnY5yVmP9uAAIK0DEbAyvwStHAminLCNpwAQADAgADcwADMwQ,bulding,2023-11-22 08:00:23+00:00
36,2134194986,AgACAgIAAxkBAAIKH2VdtSpO586d3mvQf2s6m1YAAV019wACC9AxGwMr8Eo_-Pnpb43e5wEAAwIAA3MAAzME,city,2023-11-22 08:00:42+00:00
37,2134194986,AgACAgIAAxkBAAIKIWVdtTtgENKi5GbtIljTJ0Be_fmgAAIM0DEbAyvwStTrxdkaJMkHAQADAgADcwADMwQ,waterfall,2023-11-22 08:00:59+00:00
38,2134194986,AgACAgIAAxkBAAIKI2VdtXSxGXZ2p4xxFtM9DjdxqAqrAAIN0DEbAyvwSrBnMCzgtfXxAQADAgADcwADMwQ,famouse place,2023-11-22 08:01:56+00:00
39,2134194986,AgACAgIAAxkBAAIKJWVdtZfKRGaCN80S8vS1huo1LXSeAAIP0DEbAyvwSmNfdHS-qKxyAQADAgADcwADMwQ,liberty ozotlik haykali,2023-11-22 08:02:31+00:00
40,2134194986,AgACAgIAAxkBAAIKJ2Vdta7E4n-jeExJh_pKRpT--y6pAAIR0DEbAyvwStOJ9OmIYa-3AQADAgADcwADMwQ,italia,2023-11-22 08:02:55+00:00
41,2134194986,AgACAgIAAxkBAAIKKWVdtcWtWCBLrTIs5-E8XWr6fwS6AAIS0DEbAyvwSh2uU9d8408DAQADAgADcwADMwQ,misir egypt,2023-11-22 08:03:17+00:00
42,2134194986,AgACAgIAAxkBAAIKK2VdteFXKR7nwWa1B8zwZzTyD2mOAAIT0DEbAyvwSrb-VFP0nXh-AQADAgADcwADMwQ,hollywood,2023-11-22 08:03:46+00:00
43,2134194986,AgACAgIAAxkBAAIKLWVdtg4EvtO6sOb42mIfEER1DJ_9AAIV0DEbAyvwSk8RX3eGjQ09AQADAgADcwADMwQ,monument haykal,2023-11-22 08:04:30+00:00
44,2134194986,AgACAgIAAxkBAAIKL2Vdthywuh6VPxqtMUyUEavm5PZ2AAIW0DEbAyvwSluxn-s7zNXzAQADAgADcwADMwQ,china,2023-11-22 08:04:44+00:00
45,2134194986,AgACAgIAAxkBAAIKMWVdtk19g6ucYeeJ1ZQt6R2bHpCyAAIX0DEbAyvwStzyVmvkOX4DAQADAgADcwADMwQ,registon sherdor,2023-11-22 08:05:33+00:00
46,2134194986,AgACAgIAAxkBAAIKM2Vdtnn7TD6QqCTCbpv39gsAAbV3pQACGNAxGwMr8Ep9H6m-hUnFeAEAAwIAA3MAAzME,buxora bukhar,2023-11-22 08:06:17+00:00
47,2134194986,AgACAgIAAxkBAAIKNWVdtohykwLH7z3QREduX7XDT2JmAAIZ0DEbAyvwSoYrGNfB0mmjAQADAgADcwADMwQ,sherdor,2023-11-22 08:06:32+00:00
48,2134194986,AgACAgIAAxkBAAIKN2VdtpveJoP8KTRAn-VNvFSO7Y16AAIa0DEbAyvwSt1nv2kG4ya1AQADAgADcwADMwQ,afrosiob,2023-11-22 08:06:51+00:00
49,2134194986,AgACAgIAAxkBAAIKOWVdtriyappCbf1dvulvM2cGUx2aAAIb0DEbAyvwSnWpIlLYONmTAQADAgADcwADMwQ,marker dokon,2023-11-22 08:07:20+00:00
50,2134194986,AgACAgIAAxkBAAIKPGVdtuYTMy1sXVUwkaymY4GEKxMfAAId0DEbAyvwSuURBy4kbS2PAQADAgADcwADMwQ,ichan qa'la,2023-11-22 08:08:06+00:00
51,2134194986,AgACAgIAAxkBAAIKPmVdtxc7gNGFzfvX8Z0ZfzQNlpzoAAIf0DEbAyvwStw8e8MKXIw1AQADAgADcwADMwQ,osh polov,2023-11-22 08:08:55+00:00
52,2134194986,AgACAgIAAxkBAAIKQGVdt2Izk-dhqNp4BEe7cAQ_nlmmAAIm0DEbAyvwSrjL4UvYT6wyAQADAgADcwADMwQ,Mustaqillik maydoni Mustaqillik Square,2023-11-22 08:10:10+00:00
53,2134194986,AgACAgIAAxkBAAIKQmVdt4NmUoiv2fSQ2XLlYdkUmk7gAAIn0DEbAyvwSm7rLLCLewjkAQADAgADcwADMwQ,Abu Rayxon Beruniy,2023-11-22 08:10:43+00:00
54,2134194986,AgACAgIAAxkBAAIKRGVdt58ntgLDimw53-70l0_UqX0fAAIp0DEbAyvwSirwlguR1rPMAQADAgADcwADMwQ,Xalqlar Do'sligi,2023-11-22 08:11:11+00:00
55,2134194986,AgACAgIAAxkBAAIKRmVdt8YDFuac5hSJ-fxTqlHfQtm4AAIq0DEbAyvwSlfiuT3ELERQAQADAgADcwADMwQ,G'afur G'ulom metro,2023-11-22 08:11:50+00:00
56,2134194986,AgACAgIAAxkBAAIKSGVduGQAAWvTuogtRd-S77G00KVIUgACNNAxGwMr8Epy082UUjKGMgEAAwIAA3MAAzME,Amir Temur Muzeyi Museum,2023-11-22 08:14:28+00:00
57,2134194986,AgACAgIAAxkBAAIKSmVduIUdYwABGtdt1585Dq_XhwklmAACNdAxGwMr8EqkSdMmesEZjAEAAwIAA3MAAzME,Tashkent City tashkent city,2023-11-22 08:15:01+00:00
58,2134194986,AgACAgIAAxkBAAIKTGVduJlfCibw_2NKakvTVWqzh1WmAAI30DEbAyvwSn_yG2aDS_6-AQADAgADcwADMwQ,Amir Temur,2023-11-22 08:15:21+00:00
59,2134194986,AgACAgIAAxkBAAIKTmVduMVZEi87DQrYthNyiPBbAZ0CAAI50DEbAyvwSmMCZtZxM2qZAQADAgADcwADMwQ,Teleminora Tashkent Tower,2023-11-22 08:16:05+00:00
60,2134194986,AgACAgIAAxkBAAIKUGVduOiChm01Ub86mUc9Gcp1OzhgAAI60DEbAyvwSuJhFRNenPglAQADAgADcwADMwQ,Python,2023-11-22 08:16:40+00:00
61,2134194986,AgACAgIAAxkBAAIKUmVduSN_1Z3rL5A7Z346IKgPRl9dAAI70DEbAyvwSt4ZJIbxSfTUAQADAgADcwADMwQ,hp,2023-11-22 08:17:39+00:00
