,TG ID,File ID,File Caption,File Type,Date
0,6232987020,BQACAgIAAxkBAAIIrWVcpgKSdP3pLwjEGNJ3XLVDhqGxAALVOgACqEfgSrODZ3tuddAtMwQ,htmlbluetooth_content_share(1).html,document,2023-11-21 12:43:46+00:00
1,6232987020,CQACAgIAAxkBAAIItGVcporr06kHDDPp5Q6XJT1mRvnmAALaOgACqEfgSkmHfgwF-AZWMwQ,made2_5359627746660068684.m4a,audio,2023-11-21 12:46:03+00:00
2,6232987020,BQACAgIAAxkBAAIOb2Vh6RBiyKWaJthfuTKx28blkichAAKQOgACLn8RS_cG38ATO6zYMwQ,Nonebooks.csv,document,2023-11-25 12:31:12+00:00
