,TG ID,Mass Media,Orders,Fast_food,Library,Weather,Music,Movie,Payment,Entertainment,Child,Bot Tutor,Tik Tok,Life Hack,SXM Cloud,Rating,Music_D,Image_D,Movies_D,Apps_D,Profile,AudioText,Youtube_D,SNBG,Transport
0,6232987020,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,3,0,0,0,0
1,2134194986,0,1,1,0,1,0,0,0,0,0,3,4,3,1,2,2,7,0,0,14,0,7,1,0
2,6007958666,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,0,0,2,3,0,0,0
3,1014214616,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
